[   21.430132]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   21.430300]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   21.431322]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   21.873437]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   22.029694]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   22.030885]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   22.030892]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   22.030893]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   22.030970]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   22.031012]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   22.031033]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   22.031114]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   22.031120]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   22.031122]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   22.031127]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   22.031129]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   22.048179]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   22.048200]: [IGFB][LOG  ][DISPLAY   ] Closed Clamshell status is 0
[   22.048202]: [IGFB][LOG  ][DISPLAY   ] FB0: FBMemoryIndex:0, fFBMemoryUsedCount:1, fFBMemoryStatus:0x1
[   22.048469]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   22.048470]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   22.048471]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   22.048472]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   22.048754]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   22.048756]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   22.048757]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   22.048758]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   22.048759]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   22.048760]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   22.048761]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   22.048763]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   22.048764]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
