[   18.709096]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   18.709151]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   18.709212]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   18.709216]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   18.709218]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   18.709219]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   18.710668]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   18.710803]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   18.711053]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   18.711137]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   18.711139]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   18.711140]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   18.711225]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   18.711254]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   18.711284]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   18.711322]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   18.711350]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   18.711395]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   18.711400]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   18.711447]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   18.711879]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   18.712084]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   18.712086]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   18.712087]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   18.712088]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   18.713991]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   18.713995]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   18.713997]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   18.713998]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   18.713999]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   18.714000]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   18.714001]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   18.714002]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   18.714005]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   18.714006]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   18.714012]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
[   18.714014]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 19656
[   18.714016]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 22749
[   18.714017]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21064
[   18.714019]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
[   18.714021]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
[   18.714023]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 23972
[   18.714025]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(3) totalbw = 25000
[   18.714026]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(3) totalbw = 25000
[   18.714028]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(3) totalbw = 0
[   18.714030]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 4 h24_maxplanes = 67108863
[   18.714031]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(4) totalbw = 25000
[   18.714033]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(4) totalbw = 25000
[   18.714034]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(4) totalbw = 25000
[   18.714036]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(4) totalbw = 0
[   18.714038]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 5 h24_maxplanes = 33554431
[   18.714039]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(5) totalbw = 25000
[   18.714049]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(5) totalbw = 25000
[   18.714052]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(5) totalbw = 25000
[   18.714054]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(5) totalbw = 0
[   18.719218]: [IGFB][INFO ][GTPM_SLEEP] initForPM - fGPUIsAwake init to 1
[   18.720458]: [IGFB][LOG  ][POWER     ] External power disconnected
[   18.721042]: [IGFB][LOG  ][VRR       ] FB1: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   18.721084]: [IGFB][LOG  ][POWER     ] External power disconnected
[   18.721664]: [IGFB][LOG  ][VRR       ] FB2: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   18.721706]: [IGFB][LOG  ][POWER     ] External power disconnected
[   18.721733]: [IGFB][LOG  ][AGDC      ] Vendor info
[   18.721736]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   18.756923]: [IGFB][LOG  ][AGDC      ] Vendor info
[   18.758417]: [IGFB][LOG  ][AGDC      ] Vendor info
[   18.758421]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   18.758437]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   18.758447]: [IGFB][LOG  ][AGDC      ] Get port caps
[   18.758448]: [IGFB][LOG  ][DISPLAY   ] Getting port caps for port -1
