[   24.913033]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   24.913241]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   24.913256]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   24.913259]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   24.913260]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   24.913261]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   24.914811]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   24.915340]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   24.915831]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   24.915985]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   24.915987]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   24.915988]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   24.916059]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   24.916089]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   24.916110]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   24.916231]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   24.916251]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   24.916252]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   24.916257]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   24.916259]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   24.916496]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   24.919357]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   24.919365]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   24.919367]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   24.919369]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   24.919786]: newUserClient: Invalid userClient Type request: 0Sandbox: locationd(308) deny(1) mach-lookupSandbox: locationd(308) deny(1) mach-lookup com.apple.wifi.sharekit[IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   24.920621]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   24.920623]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   24.920625]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   24.920627]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   24.920628]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   24.920630]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   24.920632]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   24.920634]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   24.920636]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   24.920638]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
[   24.920639]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 19656
[   24.920641]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 22749
[   24.920642]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21064
[   24.920644]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
[   24.920646]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
[   24.920647]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 23972
[   24.920655]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(3) totalbw = 25000
[   24.920657]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(3) totalbw = 25000
[   24.920659]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(3) totalbw = 0
[   24.920660]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 4 h24_maxplanes = 67108863
[   24.920662]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(4) totalbw = 25000
[   24.920664]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(4) totalbw = 25000
[   24.920666]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(4) totalbw = 25000
[   24.920667]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(4) totalbw = 0
[   24.920669]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 5 h24_maxplanes = 33554431
[   24.920671]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(5) totalbw = 25000
[   24.920673]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(5) totalbw = 25000
[   24.920674]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(5) totalbw = 25000
[   24.920676]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(5) totalbw = 0
[   24.929671]: [IGFB][INFO ][GTPM_SLEEP] initForPM - fGPUIsAwake init to 1
[   24.931160]: [IGFB][LOG  ][POWER     ] External power connected
[   24.931609]: Sandbox: locationd(308) deny(1) mach-lookup com.apple.systemstatus.publisher[IGFB][LOG  ][VRR       ] FB1: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   24.932068]: [IGFB][LOG  ][POWER     ] External power connected
[   24.932912]: [IGFB][LOG  ][VRR       ] FB2: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   24.933022]: [IGFB][LOG  ][POWER     ] External power connected
[   24.933052]: [IGFB][LOG  ][AGDC      ] Vendor info
[   24.933067]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   25.087960]: [IGFB][LOG  ][AGDC      ] Vendor info
[   25.088009]: [IGFB][LOG  ][AGDC      ] Vendor info
[   25.088013]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   25.088025]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   25.088028]: [IGFB][LOG  ][AGDC      ] Get port caps
[   25.088029]: [IGFB][LOG  ][DISPLAY   ] Getting port caps for port -1
[   25.088032]: [IGFB][LOG  ][AGDC      ] Vendor info
[   25.089045]: [IGFB][LOG  ][PANEL     ] [key:0x002/on:1] fPSREnablekeys: 0x00000a5d -> 0x00000a5f (fullset:0x00001fff)
[   25.130110]: [IGFB][LOG  ][AGDC      ] Register AGDC callback
[   25.130114]: [IGFB][LOG  ][AGDC      ] Enable controller
[   25.457011]: [IGFB][INFO ][GTPM_CONTR] accelWillLoadGuC: initializing...
[   25.489611]: [IGFB][INFO ][GTPM_CONTR] accelDidLoadGuC
[   33.052700]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 0 at time 33052700
[   33.052705]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 0
[   33.053724]: [IGFB][LOG  ][DISPLAY   ] Reporting Fake VBL for pipe 0 on Fb 0 
[   33.055522]: [IGFB][LOG  ][DISPLAY   ] ProAudio register PMRoot callback
[   33.072654]: [IGFB][LOG  ][DISPLAY   ] FB0: ConnectionProbe - Setting Tiling mode, fOnline = 1, fOnlineStatusRequest = 1
[   33.072660]: [IGFB][LOG  ][DISPLAY   ] FB0: Online info for DDI = 0, PortType = 0
[   33.076830]: [IGFB][LOG  ][DPCD      ] DPCD_REV: 1.1
[   33.077297]: [IGFB][LOG  ][DPCD      ] MAX_LINK_RATE: 0xA
[   33.077298]: [IGFB][LOG  ][DPCD      ] MAX_LANE_COUNT: 2
[   33.077299]: [IGFB][LOG  ][DPCD      ] TP3 Supported: 0
[   33.077300]: [IGFB][LOG  ][DPCD      ] TP4 Supported: 0
[   33.077301]: [IGFB][LOG  ][DPCD      ] Enhanced Framing: 1
[   33.077301]: [IGFB][LOG  ][DPCD      ] Does NOT require AUX CH handshake?: 1
[   33.077302]: [IGFB][LOG  ][DPCD      ] Number of Receive Ports: 1
[   33.077303]: [IGFB][LOG  ][DPCD      ] Has downstream Port(s): 0
[   33.077304]: [IGFB][LOG  ][DPCD      ] Downstream detailed capability available: 0
[   33.077309]: [IGFB][LOG  ][DPCD      ] Has Main Link channel ANSI coding: 1
[   33.077310]: [IGFB][LOG  ][DPCD      ] Number of downstream ports: 0
[   33.077311]: [IGFB][LOG  ][DPCD      ] OUI Supported?: 0
[   33.077312]: [IGFB][LOG  ][DPCD      ] DDI=0 MSATimingParamsIgnoreSupport = 0
[   33.077664]: [IGFB][LOG  ][DPCD      ] MST Capable: 0
[   33.078242]: [IGFB][LOG  ][DPCD      ] Sink Count 1
[   33.078475]: [IGFB][LOG  ][DPCD      ] eDP Configuration 3
[   33.078475]: [IGFB][LOG  ][DPCD      ] Link Training Interval 0
[   33.078476]: [IGFB][LOG  ][DISPLAY   ] FB0: fIsHDMI = 0, fEnableAudio = 0, newOnline = 1, fOnline = 1, fMaxPixelClock = 720000000
[   33.078478]: [IGFB][LOG  ][DISPLAY   ] FB0: newOnline: 1, fOnline: 1
[   33.078479]: [IGFB][LOG  ][DISPLAY   ] FB0: edid != fEDID
[   33.078618]: [IGFB][LOG  ][PANEL     ] [key:0x080/on:1] fPSREnablekeys: 0x00000a5f -> 0x00000adf (fullset:0x00001fff)
[   33.078621]: [IGFB][LOG  ][PANEL     ] [key:0x400/on:1] fPSREnablekeys: 0x00000adf -> 0x00000edf (fullset:0x00001fff)
[   33.078975]: [IGFB][ERROR][PANEL     ] TCON: Aux not ready at HW
[   33.078978]: [IGFB][ERROR][PANEL     ] TCON: BAN_DPCD_0x0_EXPECTED failed, got 41820a11
[   33.079175]: [IGFB][INFO ][VRR       ] Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOG Handler!!
[   33.080512]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 33080512
[   33.080514]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 1
[   33.080515]: [IGFB][LOG  ][DISPLAY   ] TxnHang1: FB1: FrameBufferNotificationCallback received. Event = 1. fTransactionState = kTransComplete, fLiveState = kTransLive
[   33.080565]: [IGFB][INFO ][VRR       ] Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOG Handler!!
[   33.081011]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 33081011
[   33.081013]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeDidChange notification received on fb 1
[   33.081014]: [IGFB][LOG  ][DISPLAY   ] TxnHang1: FB1: FrameBufferNotificationCallback received. Event = 2. fTransactionState = kTransComplete, fLiveState = kTransLive
[   33.081225]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 2 at time 33081225
[   33.081226]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 2
[   33.081228]: [IGFB][LOG  ][DISPLAY   ] TxnHang1: FB2: FrameBufferNotificationCallback received. Event = 1. fTransactionState = kTransComplete, fLiveState = kTransLive
[   33.081342]: [IGFB][LOG  ][AGDC      ] Get callback caps
[   33.081405]: [IGFB][LOG  ][AGDC      ] Get link config
[   33.081406]: [IGFB][LOG  ][DISPLAY   ] AGDC FB0 fOnline = 1 bootdisplay = 1 
[   33.081408]: [IGFB][LOG  ][DISPLAY   ] FB0 reported as online to AGDC
[   33.081410]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00002210, data size = 1, ddi = 0, port index = 0
[   33.081564]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000000, data size = 1, ddi = 0, port index = 0
[   33.081800]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000100, data size = 2, ddi = 0, port index = 0
[   33.082039]: [IGFB][LOG  ][AGDC      ] Test resource set config
[   33.082040]: [IGFB][LOG  ][DISPLAY   ] FB0: Testing resource set config
[   33.082041]: [IGFB][LOG  ][DISPLAY   ] FB0: set[0] is single-link
[   33.082043]: [IGFB][LOG  ][AGDC      ] Commit resource set config
[   33.082044]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   33.082046]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   33.082047]: [IGFB][LOG  ][AGDC      ] Get link config
[   33.082048]: [IGFB][LOG  ][DISPLAY   ] AGDC FB1 fOnline = 0 bootdisplay = 0 
[   33.082049]: [IGFB][LOG  ][AGDC      ] Get link config
