[   22.598343]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   22.598824]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   22.598887]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   22.598891]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   22.598893]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   22.598895]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   22.600424]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   22.602208]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   22.602897]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   22.603158]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   22.603160]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   22.603161]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   22.603210]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   22.603246]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   22.603267]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   22.603595]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   22.603862]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   22.603864]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   22.603870]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   22.603873]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   22.606867]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   22.607428]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   22.607435]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   22.607436]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   22.607437]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   22.608114]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   22.608116]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   22.608117]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   22.608118]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   22.608119]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   22.608120]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   22.608121]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   22.608122]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   22.608123]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   22.608124]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   22.608125]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
[   22.608126]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 19656
[   22.608127]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 22749
[   22.608128]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21064
[   22.608129]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
[   22.608131]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
[   22.608132]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 23972
[   22.608133]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(3) totalbw = 25000
[   22.608134]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(3) totalbw = 25000
[   22.608135]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(3) totalbw = 0
[   22.608136]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 4 h24_maxplanes = 67108863
[   22.608137]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(4) totalbw = 25000
[   22.608138]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(4) totalbw = 25000
[   22.608139]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(4) totalbw = 25000
[   22.608140]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(4) totalbw = 0
[   22.608141]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 5 h24_maxplanes = 33554431
[   22.608142]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(5) totalbw = 25000
[   22.608143]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(5) totalbw = 25000
[   22.608144]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(5) totalbw = 25000
[   22.608145]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(5) totalbw = 0
[   22.613565]: [IGFB][INFO ][GTPM_SLEEP] initForPM - fGPUIsAwake init to 1
[   22.615224]: [IGFB][LOG  ][VRR       ] FB1: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   22.615809]: [IGFB][LOG  ][VRR       ] FB2: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   22.615851]: [IGFB][LOG  ][AGDC      ] Vendor info
[   22.615853]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   22.641381]: [IGFB][LOG  ][AGDC      ] Vendor info
[   22.650691]: [IGFB][LOG  ][AGDC      ] Vendor info
[   22.650695]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   22.650712]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   22.650714]: [IGFB][LOG  ][AGDC      ] Get port caps
[   22.650715]: [IGFB][LOG  ][DISPLAY   ] Getting port caps for port -1
[   22.650718]: [IGFB][LOG  ][AGDC      ] Vendor info
[   22.650740]: [IGFB][LOG  ][AGDC      ] Register AGDC callback
[   22.650748]: [IGFB][LOG  ][AGDC      ] Enable controller
[   22.975819]: [IGFB][INFO ][GTPM_CONTR] accelWillLoadGuC: initializing...
[   23.006730]: [IGFB][INFO ][GTPM_CONTR] accelDidLoadGuC
[   26.379822]: [IGFB][LOG  ][POWER     ] External power disconnected
[   26.379830]: [IGFB][LOG  ][POWER     ] External power disconnected
[   26.379833]: [IGFB][LOG  ][POWER     ] External power disconnected
[   28.500832]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 0 at time 28500831
[   28.500836]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 0
[   28.502006]: [IGFB][LOG  ][DISPLAY   ] Reporting Fake VBL for pipe 0 on Fb 0 
[   28.503794]: [IGFB][LOG  ][DISPLAY   ] ProAudio register PMRoot callback
[   28.625221]: [IGFB][LOG  ][DPCD      ] DPCD_REV: 1.2
[   28.625244]: [IGFB][LOG  ][DPCD      ] MAX_LINK_RATE: 0x14
[   28.625255]: [IGFB][LOG  ][DPCD      ] MAX_LANE_COUNT: 2
[   28.625261]: [IGFB][LOG  ][DPCD      ] TP3 Supported: 1
[   28.625265]: [IGFB][LOG  ][DPCD      ] TP4 Supported: 0
[   28.625269]: [IGFB][LOG  ][DPCD      ] Enhanced Framing: 1
[   28.625274]: [IGFB][LOG  ][DPCD      ] Does NOT require AUX CH handshake?: 0
[   28.625279]: [IGFB][LOG  ][DPCD      ] Number of Receive Ports: 2
[   28.625283]: [IGFB][LOG  ][DPCD      ] Has downstream Port(s): 1
[   28.625288]: [IGFB][LOG  ][DPCD      ] Downstream detailed capability available: 1
[   28.625293]: [IGFB][LOG  ][DPCD      ] Port Type: 2
[   28.625297]: [IGFB][LOG  ][DPCD      ] Has format conversion block: 0
[   28.625302]: [IGFB][LOG  ][DPCD      ] Has Main Link channel ANSI coding: 1
[   28.625307]: [IGFB][LOG  ][DPCD      ] Number of downstream ports: 1
[   28.625312]: [IGFB][LOG  ][DPCD      ] OUI Supported?: 1
[   28.625316]: [IGFB][LOG  ][DPCD      ] DDI=2 MSATimingParamsIgnoreSupport = 0
[   28.629067]: [IGFB][LOG  ][DPCD      ] MST Capable: 0
[   28.631108]: [IGFB][LOG  ][DPCD      ] DWN_STRM_PORT0_CAP Type: 0x3
[   28.631114]: [IGFB][LOG  ][DPCD      ] DWN_STRM_PORT0_CAP HPD Aware: 1
[   28.631115]: [IGFB][LOG  ][DPCD      ] MaxTMDSClock=300000000
[   28.631117]: [IGFB][LOG  ][DPCD      ] BitsPerColorComponent=2
[   28.631118]: [IGFB][LOG  ][DPCD      ] 422PassThrough=0 420Passthrough=0 444->422=0 and 444->420=0
[   28.634779]: [IGFB][LOG  ][DPCD      ] Sink Count 1
[   28.636774]: [IGFB][LOG  ][DPCD      ] eDP Configuration 0
[   28.636784]: [IGFB][LOG  ][DPCD      ] Link Training Interval 4
[   28.637204]: [IGFB][ERROR][PORT      ] _DSM function 18 call failed 0xe00002bc
[   28.637208]: [IGFB][ERROR][PORT      ] _DSM function 18 failed 0xff
[   28.645945]: [IGFB][LOG  ][DISPLAY   ] FB0: ConnectionProbe - Setting Tiling mode, fOnline = 1, fOnlineStatusRequest = 1
[   28.645963]: [IGFB][LOG  ][DISPLAY   ] FB0: Online info for DDI = 0, PortType = 0
[   28.650252]: [IGFB][LOG  ][DPCD      ] DPCD_REV: 1.1
[   28.650760]: [IGFB][LOG  ][DPCD      ] MAX_LINK_RATE: 0xA
[   28.650764]: [IGFB][LOG  ][DPCD      ] MAX_LANE_COUNT: 2
[   28.650765]: [IGFB][LOG  ][DPCD      ] TP3 Supported: 0
[   28.650767]: [IGFB][LOG  ][DPCD      ] TP4 Supported: 0
[   28.650768]: [IGFB][LOG  ][DPCD      ] Enhanced Framing: 1
[   28.650769]: [IGFB][LOG  ][DPCD      ] Does NOT require AUX CH handshake?: 1
[   28.650771]: [IGFB][LOG  ][DPCD      ] Number of Receive Ports: 1
[   28.650772]: [IGFB][LOG  ][DPCD      ] Has downstream Port(s): 0
[   28.650774]: [IGFB][LOG  ][DPCD      ] Downstream detailed capability available: 0
[   28.650775]: [IGFB][LOG  ][DPCD      ] Has Main Link channel ANSI coding: 1
[   28.650777]: [IGFB][LOG  ][DPCD      ] Number of downstream ports: 0
[   28.650778]: [IGFB][LOG  ][DPCD      ] OUI Supported?: 0
[   28.650780]: [IGFB][LOG  ][DPCD      ] DDI=0 MSATimingParamsIgnoreSupport = 0
[   28.651165]: [IGFB][LOG  ][DPCD      ] MST Capable: 0
[   28.651777]: [IGFB][LOG  ][DPCD      ] Sink Count 1
[   28.652015]: [IGFB][LOG  ][DPCD      ] eDP Configuration 3
[   28.652016]: [IGFB][LOG  ][DPCD      ] Link Training Interval 0
[   28.652018]: [IGFB][LOG  ][DISPLAY   ] FB0: fIsHDMI = 0, fEnableAudio = 0, newOnline = 1, fOnline = 1, fMaxPixelClock = 720000000
[   28.652020]: [IGFB][LOG  ][DISPLAY   ] FB0: newOnline: 1, fOnline: 1
[   28.652022]: [IGFB][LOG  ][DISPLAY   ] FB0: edid != fEDID
[   28.652279]: [IGFB][INFO ][VRR       ] Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOG Handler!!
[   28.653667]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 28653667
[   28.653673]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 1
[   28.653675]: [IGFB][LOG  ][DISPLAY   ] TxnHang1: FB1: FrameBufferNotificationCallback received. Event = 1. fTransactionState = kTransComplete, fLiveState = kTransLive
[   28.653772]: [IGFB][INFO ][VRR       ] Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOG Handler!!
[   28.654335]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 28654335
[   28.654337]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeDidChange notification received on fb 1
[   28.654338]: [IGFB][LOG  ][DISPLAY   ] TxnHang1: FB1: FrameBufferNotificationCallback received. Event = 2. fTransactionState = kTransComplete, fLiveState = kTransLive
[   28.654473]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 2 at time 28654473
[   28.654476]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 2
[   28.654477]: [IGFB][LOG  ][DISPLAY   ] TxnHang1: FB2: FrameBufferNotificationCallback received. Event = 1. fTransactionState = kTransComplete, fLiveState = kTransLive
[   28.654548]: [IGFB][LOG  ][AGDC      ] Get callback caps
[   28.654578]: [IGFB][LOG  ][AGDC      ] Get link config
[   28.654579]: [IGFB][LOG  ][DISPLAY   ] AGDC FB0 fOnline = 1 bootdisplay = 1 
[   28.654581]: [IGFB][LOG  ][DISPLAY   ] FB0 reported as online to AGDC
[   28.654584]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00002210, data size = 1, ddi = 0, port index = 0
[   28.654840]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000000, data size = 1, ddi = 0, port index = 0
[   28.655084]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000100, data size = 2, ddi = 0, port index = 0
[   28.655355]: [IGFB][LOG  ][AGDC      ] Test resource set config
[   28.655357]: [IGFB][LOG  ][DISPLAY   ] FB0: Testing resource set config
[   28.655357]: [IGFB][LOG  ][DISPLAY   ] FB0: set[0] is single-link
[   28.655359]: [IGFB][LOG  ][AGDC      ] Commit resource set config
[   28.655360]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   28.655363]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   28.655364]: [IGFB][LOG  ][AGDC      ] Get link config
[   28.655365]: [IGFB][LOG  ][DISPLAY   ] AGDC FB1 fOnline = 0 bootdisplay = 0 
[   28.655366]: [IGFB][LOG  ][AGDC      ] Get link config
[   28.655367]: [IGFB][LOG  ][DISPLAY   ] AGDC FB2 fOnline = 0 bootdisplay = 0 
[   28.655388]: [IGFB][INFO ][VRR       ] Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOG Handler!!
[   28.655435]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 2 at time 28655435
[   28.655476]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeDidChange notification received on fb 2
[   28.655477]: [IGFB][LOG  ][DISPLAY   ] TxnHang1: FB2: FrameBufferNotificationCallback received. Event = 2. fTransactionState = kTransComplete, fLiveState = kTransLive
[   28.657257]: [IGFB][INFO ][VRR       ] Not Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOAF Handler!!
[   28.657263]: [IGFB][LOG  ][DISPLAY   ] getCurrentDisplayMode: FB=0 fCurrentMode = 0xfffffffb fCurrentDepth = 0, fBootDisplay = 1.
[   28.657266]: [IGFB][LOG  ][DISPLAY   ] Setting current mode to 0xfffffffb and depth=0, bPortraitMode 0, bAnotherRun 0.
[   28.679514]: [IGFB][INFO ][VRR       ] Not Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOAF Handler!!
[   28.700619]: [IGFB][INFO ][VRR       ] Not Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOAF Handler!!
[   28.722273]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 0 at time 28722272
[   28.722275]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeDidChange notification received on fb 0
[   28.723555]: [IGFB][LOG  ][DISPLAY   ] Reporting Fake VBL for pipe 0 on Fb 0 
[   32.654359]: [IGFB][LOG  ][ASMF      ] doCmdAction called - cmd:205
[   32.660922]: [IGFB][LOG  ][DISPLAY   ] getCurrentDisplayMode: FB=0 fCurrentMode = 0xfffffffb fCurrentDepth = 0, fBootDisplay = 1.
[   32.660930]: [IGFB][LOG  ][DISPLAY   ] Setting current mode to 0xfffffffb and depth=0, bPortraitMode 0, bAnotherRun 0.
[   32.663185]: [IGFB][LOG  ][VDT       ] FB0: Requesting VDT: Online:1 Mode:0 Depth:1 Active:1920x1080 Scaled:0x0 PixelClock:152600000 ScalerFlags:0 SignalConfig:0 Requested pixel encoding 1 Colorimetry 1 dynamic range 1
[   32.663221]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Detailed timing validated by AGDC (response = 0x0)
[   32.663224]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Mode:0 Depth:1 Active:1920x1080 Scaled:0x0 PixelClock:152600000 ScalerFlags:0 SignalConfig:0: Requested pixel encoding 1 dynamic range 1
[   32.663228]: [IGFB][LOG  ][VDT       ] FB0: fEnablePlaneRotation = 1, fittable = 1
[   32.663410]: [IGFB][LOG  ][VDT       ] FB0: Requesting VDT: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:3360x1890 PixelClock:152600000 ScalerFlags:0 SignalConfig:0 Requested pixel encoding 1 Colorimetry 1 dynamic range 1
[   32.663448]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Detailed timing validated by AGDC (response = 0x0)
[   32.663451]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:3360x1890 PixelClock:152600000 ScalerFlags:0 SignalConfig:0: Requested pixel encoding 1 dynamic range 1
[   32.663456]: [IGFB][LOG  ][VDT       ] FB0: fEnablePlaneRotation = 1, fittable = 1
[   32.663475]: [IGFB][LOG  ][VDT       ] FB0: Requesting VDT: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:3200x1800 PixelClock:152600000 ScalerFlags:0 SignalConfig:0 Requested pixel encoding 1 Colorimetry 1 dynamic range 1
[   32.663497]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Detailed timing validated by AGDC (response = 0x0)
[   32.663499]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:3200x1800 PixelClock:152600000 ScalerFlags:0 SignalConfig:0: Requested pixel encoding 1 dynamic range 1
[   32.663503]: [IGFB][LOG  ][VDT       ] FB0: fEnablePlaneRotation = 1, fittable = 1
[   32.663519]: [IGFB][LOG  ][VDT       ] FB0: Requesting VDT: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:2880x1620 PixelClock:152600000 ScalerFlags:0 SignalConfig:0 Requested pixel encoding 1 Colorimetry 1 dynamic range 1
[   32.663545]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Detailed timing validated by AGDC (response = 0x0)
[   32.663547]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:2880x1620 PixelClock:152600000 ScalerFlags:0 SignalConfig:0: Requested pixel encoding 1 dynamic range 1
[   32.663551]: [IGFB][LOG  ][VDT       ] FB0: fEnablePlaneRotation = 1, fittable = 1
[   32.663568]: [IGFB][LOG  ][VDT       ] FB0: Requesting VDT: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:2560x1600 PixelClock:152600000 ScalerFlags:0 SignalConfig:0 Requested pixel encoding 1 Colorimetry 1 dynamic range 1
[   32.663595]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Detailed timing validated by AGDC (response = 0x0)
[   32.663597]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:2560x1600 PixelClock:152600000 ScalerFlags:0 SignalConfig:0: Requested pixel encoding 1 dynamic range 1
[   32.663601]: [IGFB][LOG  ][VDT       ] FB0: fEnablePlaneRotation = 1, fittable = 1
[   32.663615]: [IGFB][LOG  ][VDT       ] FB0: Requesting VDT: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:2560x1440 PixelClock:152600000 ScalerFlags:0 SignalConfig:0 Requested pixel encoding 1 Colorimetry 1 dynamic range 1
[   32.663639]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Detailed timing validated by AGDC (response = 0x0)
[   32.663641]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:2560x1440 PixelClock:152600000 ScalerFlags:0 SignalConfig:0: Requested pixel encoding 1 dynamic range 1
[   32.663645]: [IGFB][LOG  ][VDT       ] FB0: fEnablePlaneRotation = 1, fittable = 1
[   32.663659]: [IGFB][LOG  ][VDT       ] FB0: Requesting VDT: Online:1 Mode:0x80001000 Depth:1 Active:1920x1080 Scaled:2560x1440 PixelClock:152600000 ScalerFlags:0 SignalConfig:0 Requested pixel encoding 1 Colorimetry 1 dynamic range 1
[   32.663690]: [IGFB][LOG  ][VDT       ] FB0: Online:1 Detailed timing validated by AGDC (response = 0x0)
