[   22.153811]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   22.153992]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   22.154018]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   22.154022]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   22.154024]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   22.154026]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   22.155460]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   22.155824]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   22.156940]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   22.157752]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   22.157755]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   22.157757]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   22.157819]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   22.157866]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   22.157911]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   22.158185]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   22.158325]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   22.158328]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   22.158337]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   22.158341]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   22.163863]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   22.164180]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   22.164185]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   22.164186]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   22.164191]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   22.165788]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   22.165791]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   22.165793]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   22.165794]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   22.165795]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   22.165796]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   22.165797]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   22.165799]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   22.165800]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   22.165801]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   22.165802]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
