2021-10-27 00:53:19.808456+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
2021-10-27 00:53:19.808602+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][POWER     ] Force disable DC9
2021-10-27 00:53:19.808612+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
2021-10-27 00:53:19.808614+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
2021-10-27 00:53:19.809263+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
2021-10-27 00:53:19.809669+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
2021-10-27 00:53:19.810308+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
2021-10-27 00:53:19.810537+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
2021-10-27 00:53:19.810538+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
2021-10-27 00:53:19.810538+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
2021-10-27 00:53:19.810574+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
2021-10-27 00:53:19.810631+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
2021-10-27 00:53:19.810647+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
2021-10-27 00:53:19.810734+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
2021-10-27 00:53:19.810831+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
2021-10-27 00:53:19.810832+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
2021-10-27 00:53:19.810835+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
2021-10-27 00:53:19.810836+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2.
2021-10-27 00:53:19.812734+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
2021-10-27 00:53:19.814510+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
2021-10-27 00:53:19.814512+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
2021-10-27 00:53:19.814513+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
2021-10-27 00:53:19.814514+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
2021-10-27 00:53:19.816744+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
2021-10-27 00:53:19.816746+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
2021-10-27 00:53:19.816747+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
2021-10-27 00:53:19.816748+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
2021-10-27 00:53:19.816749+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
2021-10-27 00:53:19.816750+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
2021-10-27 00:53:19.816751+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
2021-10-27 00:53:19.816752+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
2021-10-27 00:53:19.816753+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
2021-10-27 00:53:19.816754+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
2021-10-27 00:53:19.816755+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
2021-10-27 00:53:19.816756+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 19656
2021-10-27 00:53:19.816757+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 22749
2021-10-27 00:53:19.816758+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21064
2021-10-27 00:53:19.816759+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
2021-10-27 00:53:19.816760+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
2021-10-27 00:53:19.816761+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 23972
2021-10-27 00:53:19.816762+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(3) totalbw = 25000
2021-10-27 00:53:19.816763+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(3) totalbw = 25000
2021-10-27 00:53:19.816764+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(3) totalbw = 0
2021-10-27 00:53:19.816765+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At index (plane) 4 h24_maxplanes = 67108863
2021-10-27 00:53:19.816766+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(4) totalbw = 25000
2021-10-27 00:53:19.816767+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(4) totalbw = 25000
2021-10-27 00:53:19.816768+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(4) totalbw = 25000
2021-10-27 00:53:19.816769+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(4) totalbw = 0
2021-10-27 00:53:19.816770+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At index (plane) 5 h24_maxplanes = 33554431
2021-10-27 00:53:19.816771+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(5) totalbw = 25000
2021-10-27 00:53:19.816771+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(5) totalbw = 25000
2021-10-27 00:53:19.816772+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(5) totalbw = 25000
2021-10-27 00:53:19.816773+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(5) totalbw = 0
2021-10-27 00:53:19.825837+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][INFO ][GTPM_SLEEPWAKE] initForPM - fGPUIsAwake init to 1
2021-10-27 00:53:19.826939+1000 0xfc       Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][POWER     ] External power connected
2021-10-27 00:53:19.827233+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][VRR       ] FB1: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
2021-10-27 00:53:19.827643+1000 0xfc       Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][POWER     ] External power connected
2021-10-27 00:53:19.827657+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][VRR       ] FB2: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
2021-10-27 00:53:19.827719+1000 0x1ff      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][POWER     ] External power connected
2021-10-27 00:53:19.827761+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Vendor info
2021-10-27 00:53:19.827763+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Get GPU caps
2021-10-27 00:53:19.828082+1000 0x690      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Vendor info
2021-10-27 00:53:19.934487+1000 0x6a6      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Vendor info
2021-10-27 00:53:19.934490+1000 0x6a6      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Get GPU caps
2021-10-27 00:53:19.934502+1000 0x6a6      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Get GPU caps
2021-10-27 00:53:19.934503+1000 0x6a6      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Get port caps
2021-10-27 00:53:19.934506+1000 0x6a6      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Getting port caps for port -1
2021-10-27 00:53:19.934507+1000 0x6a6      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Vendor info
2021-10-27 00:53:19.934525+1000 0x1ff      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Register AGDC callback
2021-10-27 00:53:19.934529+1000 0x1ff      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Enable controller
2021-10-27 00:53:19.936332+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][PANEL     ] [key:0x002/on:1] fPSREnablekeys: 0x00000a5d -> 0x00000a5f (fullset:0x00001fff)
2021-10-27 00:53:20.267832+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][INFO ][GTPM_CONTROLLER] accelWillLoadGuC: initializing...
2021-10-27 00:53:20.302214+1000 0x670      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][INFO ][GTPM_CONTROLLER] accelDidLoadGuC
2021-10-27 00:53:23.187881+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 0 at time 19610890
2021-10-27 00:53:23.187883+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 0
2021-10-27 00:53:23.189491+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] ProAudio register PMRoot callback
2021-10-27 00:53:23.201763+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: ConnectionProbe - Setting Tiling mode, fOnline = 1, fOnlineStatusRequest = 1
2021-10-27 00:53:23.201768+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: Online info for DDI = 0, PortType = 0
2021-10-27 00:53:23.205929+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] DPCD_REV: 1.1
2021-10-27 00:53:23.206388+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] MAX_LINK_RATE: 0XA
2021-10-27 00:53:23.206390+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] MAX_LANE_COUNT: 2
2021-10-27 00:53:23.206390+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] TP3 Supported: 0
2021-10-27 00:53:23.206391+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] TP4 Supported: 0
2021-10-27 00:53:23.206392+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Enhanced Framing: 1
2021-10-27 00:53:23.206393+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Does NOT require AUX CH handshake?: 1
2021-10-27 00:53:23.206393+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Number of Receive Ports: 1
2021-10-27 00:53:23.206394+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Has downstream Port(s): 0
2021-10-27 00:53:23.206395+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Downstream detailed capability available: 0
