[   21.125269]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   21.125453]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   21.126286]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   21.127087]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   21.127597]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   21.128050]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   21.128052]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   21.128053]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   21.128084]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   21.128107]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   21.128123]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   21.128583]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   21.129172]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   21.129173]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   21.129176]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   21.129178]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   21.131640]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   21.131656]: [IGFB][LOG  ][DISPLAY   ] Closed Clamshell status is 0
[   21.131657]: [IGFB][LOG  ][DISPLAY   ] FB0: FBMemoryIndex:0, fFBMemoryUsedCount:1, fFBMemoryStatus:0x1
[   21.135816]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   21.135820]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   21.135821]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   21.135822]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   21.136412]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   21.136413]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   21.136415]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   21.136416]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   21.136417]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   21.136418]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   21.136419]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   21.136426]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   21.136427]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   21.136428]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   21.136429]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
[   21.136430]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 19656
[   21.136431]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 22749
[   21.136432]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21064
[   21.136433]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
[   21.136434]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
[   21.136435]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 23972
[   21.136437]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(3) totalbw = 25000
[   21.136438]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(3) totalbw = 25000
[   21.136439]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(3) totalbw = 0
[   21.136440]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 4 h24_maxplanes = 67108863
[   21.136441]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(4) totalbw = 25000
[   21.136442]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(4) totalbw = 25000
[   21.136443]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(4) totalbw = 25000
[   21.136444]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(4) totalbw = 0
[   21.136445]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 5 h24_maxplanes = 33554431
[   21.136446]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(5) totalbw = 25000
[   21.136447]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(5) totalbw = 25000
[   21.136448]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(5) totalbw = 25000
[   21.136449]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(5) totalbw = 0
[   21.149000]: [IGFB][INFO ][GTPM_SLEEP] initForPM - fGPUIsAwake init to 1
[   21.150687]: [IGFB][LOG  ][AGDC      ] Vendor info
[   21.150692]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   21.296304]: [IGFB][LOG  ][AGDC      ] Vendor info
[   21.296920]: [IGFB][LOG  ][AGDC      ] Vendor info
[   21.296924]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   21.296938]: [IGFB][LOG  ][AGDC      ] Get GPU caps
[   21.296940]: [IGFB][LOG  ][AGDC      ] Get port caps
[   21.296942]: [IGFB][LOG  ][DISPLAY   ] Getting port caps for port -1
[   21.296945]: [IGFB][LOG  ][AGDC      ] Vendor info
[   21.296955]: [IGFB][LOG  ][AGDC      ] Register AGDC callback
[   21.296967]: [IGFB][LOG  ][AGDC      ] Enable controller
[   21.664398]: [IGFB][INFO ][GTPM_CONTR] accelWillLoadGuC: initializing...
[   21.911099]: [IGFB][LOG  ][POWER     ] External power connected
[   21.911107]: [IGFB][LOG  ][POWER     ] External power connected
[   21.911110]: [IGFB][LOG  ][POWER     ] External power connected
[   22.125325]: [IGFB][INFO ][GTPM_CONTR] accelDidLoadGuC
[   26.296283]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 0 at time 26296282
[   26.296287]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 0
[   26.297960]: [IGFB][LOG  ][DISPLAY   ] ProAudio register PMRoot callback
[   26.304190]: Sandbox: calculated role flags for 0x100000a is 0x1[IGFB][LOG  ][DISPLAY   ] FB0: Online info for DDI = 0, PortType = 0
[   26.309651]: [IGFB][LOG  ][DPCD      ] DPCD_REV: 1.1
[   26.310174]: [IGFB][LOG  ][DPCD      ] MAX_LINK_RATE: 0xA
[   26.310180]: [IGFB][LOG  ][DPCD      ] MAX_LANE_COUNT: 2
[   26.310185]: [IGFB][LOG  ][DPCD      ] TP3 Supported: 0
[   26.310190]: [IGFB][LOG  ][DPCD      ] TP4 Supported: 0
[   26.310196]: [IGFB][LOG  ][DPCD      ] Enhanced Framing: 1
[   26.310205]: [IGFB][LOG  ][DPCD      ] Does NOT require AUX CH handshake?: 1
[   26.310219]: [IGFB][LOG  ][DPCD      ] Number of Receive Ports: 1
[   26.310221]: [IGFB][LOG  ][DPCD      ] Has downstream Port(s): 0
[   26.310224]: [IGFB][LOG  ][DPCD      ] Downstream detailed capability available: 0
[   26.310229]: [IGFB][LOG  ][DPCD      ] Has Main Link channel ANSI coding: 1
[   26.310232]: [IGFB][LOG  ][DPCD      ] Number of downstream ports: 0
[   26.310236]: [IGFB][LOG  ][DPCD      ] OUI Supported?: 0
[   26.310239]: [IGFB][LOG  ][DPCD      ] DDI=0 MSATimingParamsIgnoreSupport = 0
[   26.310760]: [IGFB][LOG  ][DPCD      ] MST Capable: 0
[   26.311330]: [IGFB][LOG  ][DPCD      ] Sink Count 1
[   26.311503]: [IGFB][LOG  ][DPCD      ] eDP Configuration 3
[   26.311504]: [IGFB][LOG  ][DPCD      ] Link Training Interval 0
[   26.311506]: [IGFB][LOG  ][DISPLAY   ] FB0: fIsHDMI = 0, fEnableAudio = 0, newOnline = 1, fOnline = 1, fMaxPixelClock = 720000000
[   26.311508]: [IGFB][LOG  ][DISPLAY   ] FB0: newOnline: 1, fOnline: 1
[   26.311510]: [IGFB][LOG  ][DISPLAY   ] FB0: edid != fEDID
[   26.313822]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 26313821
[   26.313826]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 1
[   26.314460]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 26314460
[   26.314463]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeDidChange notification received on fb 1
[   26.314578]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 2 at time 26314578
[   26.314580]: [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 2
[   26.314629]: [IGFB][LOG  ][AGDC      ] Get callback caps
[   26.314644]: [IGFB][LOG  ][AGDC      ] Get link config
[   26.314645]: [IGFB][LOG  ][DISPLAY   ] AGDC FB0 fOnline = 1 bootdisplay = 1 
[   26.314647]: [IGFB][LOG  ][DISPLAY   ] FB0 reported as online to AGDC
[   26.314650]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000000, data size = 1, ddi = 0, port index = 0
[   26.314918]: [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000100, data size = 2, ddi = 0, port index = 0
[   26.315154]: [IGFB][LOG  ][AGDC      ] Test resource set config
[   26.315160]: [IGFB][LOG  ][DISPLAY   ] FB0: Testing resource set config
[   26.315162]: [IGFB][LOG  ][DISPLAY   ] FB0: set[0] is single-link
[   26.315164]: [IGFB][LOG  ][AGDC      ] Commit resource set config
[   26.315165]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   26.315167]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   26.315168]: [IGFB][LOG  ][AGDC      ] Get link config
[   26.315169]: [IGFB][LOG  ][DISPLAY   ] AGDC FB1 fOnline = 0 bootdisplay = 0 
[   26.315170]: [IGFB][LOG  ][AGDC      ] Get link config
[   26.315171]: [IGFB][LOG  ][DISPLAY   ] AGDC FB2 fOnline = 0 bootdisplay = 0 
[   26.315264]: [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 2 at time 26315264
