[   21.718005]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   21.718083]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   21.718167]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   21.718171]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   21.718173]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   21.718175]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   21.719673]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   21.719797]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   21.720188]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   21.721525]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   21.721533]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   21.721535]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   21.721618]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   21.721663]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   21.721707]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   21.721826]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   21.721934]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   21.721937]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   21.721946]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   21.721950]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   21.722743]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
