[   21.851977]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   21.852177]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   21.852360]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   21.852364]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   21.852367]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   21.852368]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   21.853929]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   21.854704]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   21.856771]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   21.857068]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   21.857071]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   21.857072]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   21.857168]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   21.857200]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   21.857221]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   21.857337]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   21.857426]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   21.857428]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   21.857433]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   21.857435]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   21.858296]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   21.858763]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   21.858765]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   21.858766]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   21.858767]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   21.859233]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   21.859234]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   21.859235]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   21.859236]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   21.859238]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   21.859239]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   21.859239]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   21.859241]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   21.859242]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   21.859243]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   21.859244]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
[   21.859245]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 19656
[   21.859246]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 22749
[   21.859247]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21064
[   21.859248]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
[   21.859249]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
[   21.859250]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 23972
[   21.859251]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(3) totalbw = 25000
[   21.859252]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(3) totalbw = 25000
[   21.859253]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(3) totalbw = 0
[   21.859254]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 4 h24_maxplanes = 67108863
[   21.859255]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(4) totalbw = 25000
[   21.859256]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(4) totalbw = 25000
[   21.859257]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(4) totalbw = 25000
[   21.859258]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(4) totalbw = 0
[   21.859259]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 5 h24_maxplanes = 33554431
[   21.859260]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(5) totalbw = 25000
[   21.859261]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(5) totalbw = 25000
[   21.859262]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(5) totalbw = 25000
[   21.859263]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(5) totalbw = 0
[   21.867011]: [IGFB][INFO ][GTPM_SLEEP] initForPM - fGPUIsAwake init to 1
[   21.868440]: [IGFB][LOG  ][POWER     ] External power connected
[   21.869110]: [IGFB][LOG  ][VRR       ] FB1: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   21.869156]: [IGFB][LOG  ][POWER     ] External power connected
[   21.869778]: [IGFB][LOG  ][VRR       ] FB2: IsVRRSupported = 1 IsASFUSupported = 0 IsPairingSupported = 0 IsRampSupported = 0 IsBurstModeSupported = 0 IsTimingStampSupported = 1
[   21.869817]: [IGFB][LOG  ][POWER     ] External power connected
[   21.869838]: [IGFB][LOG  ][AGDC      ] Vendor info
[   21.869841]: [IGFB][LOG  ][AGDC      ] Get GPU caps
