[   20.734573]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   20.734741]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   20.734750]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   20.734755]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   20.734757]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   20.734758]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   20.736368]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   20.736781]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   20.737273]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   20.738525]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   20.738531]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   20.738532]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   20.738602]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   20.738635]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   20.738657]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   20.738813]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   20.739144]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   20.739147]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   20.739153]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   20.739156]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   20.740304]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   20.740616]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   20.740620]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   20.740621]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   20.740623]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   20.741083]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   20.741085]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   20.741087]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   20.741090]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   20.741091]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   20.741093]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   20.741094]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   20.741096]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   20.741098]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   20.741100]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   20.741102]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
[   20.741103]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 19656
[   20.741105]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 22749
[   20.741107]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21064
[   20.741108]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
[   20.741110]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
[   20.741111]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 23972
[   20.741112]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(3) totalbw = 25000
[   20.741113]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(3) totalbw = 25000
