[   28.362949]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   28.362971]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   28.363491]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   28.365828]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   28.367018]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   28.368247]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   28.368251]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   28.368253]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   28.368306]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   28.368342]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   28.368364]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   28.368406]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   28.368408]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   28.368410]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   28.368413]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   28.368414]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   28.368485]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   28.368499]: [IGFB][LOG  ][DISPLAY   ] Closed Clamshell status is 0
[   28.368501]: [IGFB][LOG  ][DISPLAY   ] FB0: FBMemoryIndex:0, fFBMemoryUsedCount:1, fFBMemoryStatus:0x1
[   28.371960]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   28.371970]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   28.371972]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   28.371974]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   28.375512]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   28.375516]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9828
[   28.375518]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 10842
[   28.375519]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 10053
[   28.375522]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   28.375523]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   28.375524]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14891
[   28.375524]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 17553
[   28.375525]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15576
[   28.375526]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   28.375527]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
[   28.375528]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(2) totalbw = 20058
[   28.375529]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(2) totalbw = 25000
[   28.375530]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(2) totalbw = 21474
[   28.375531]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(2) totalbw = 0
[   28.375532]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 3 h24_maxplanes = 134217727
[   28.375533]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(3) totalbw = 24268
