[   20.191174]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   20.191300]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   20.192068]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   20.192377]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   20.194496]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   20.194961]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   20.194963]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   20.194964]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   20.195010]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   20.195036]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   20.195060]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   20.195065]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   20.195069]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   20.195071]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   20.195075]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   20.195077]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   20.196645]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   20.196661]: [IGFB][LOG  ][DISPLAY   ] Closed Clamshell status is 0
[   20.196662]: [IGFB][LOG  ][DISPLAY   ] FB0: FBMemoryIndex:0, fFBMemoryUsedCount:1, fFBMemoryStatus:0x1
[   20.197895]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   20.197897]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   20.197898]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   20.197899]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   20.199080]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   20.199082]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   20.199084]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   20.199086]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   20.199087]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   20.199088]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   20.199091]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
[   20.199092]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(1) totalbw = 16164
[   20.199093]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(1) totalbw = 15148
[   20.199094]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(1) totalbw = 0
[   20.199102]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 2 h24_maxplanes = 0
