[   21.828900]: [IGFB][INFO ][DISPLAY   ] ProAudio - Starting FB driver
[   21.829277]: [IGFB][LOG  ][POWER     ] Force disable DC9
[   21.829334]: [IGFB][LOG  ][DISPLAY   ] VRRTimeStampConfig status - fUseVBL = 0, fLegacyVBLPath = 0, fNotifyCalculatedTimestamp = 1, fReturnFromGamma = 0
[   21.829338]: [IGFB][LOG  ][DISPLAY   ] IsVRRSupported = 1
[   21.829340]: [IGFB][LOG  ][DISPLAY   ] IsHDMI_2_1Supported = 0
[   21.829341]: [IGFB][LOG  ][DISPLAY   ] IsHDMIVRRSupported = 0
[   21.830993]: [IGFB][LOG  ][DISPLAY   ] CD clock reference frequency = 2
[   21.831439]: [IGFB][LOG  ][DISPLAY   ] CD Clock PLL is locked
[   21.832724]: [IGFB][ERROR][POWER_WELL] EFI should not enable PG4 power well - overriding
[   21.833043]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 0, pipe = A
[   21.833045]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 1, pipe = B
[   21.833046]: [IGFB][LOG  ][DISPLAY   ] PathIndex = 2, pipe = C
[   21.833154]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 0
[   21.833265]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 1
[   21.833295]: [IGFB][LOG  ][DISPLAY   ] Registering for addFrameBufferNotificationWithOptions :: GroupID = 16 Event = 801 fb is 2
[   21.833513]: [IGFB][LOG  ][DISPLAY   ] FB0: Boot pipe found - DDI0, pipe A
[   21.833700]: [IGFB][LOG  ][DISPLAY   ] Boot plane config: enable 1 pipe gamma enable 0 source pixel format 8 pipe csc 0 tiling 0
[   21.833702]: [IGFB][LOG  ][DISPLAY   ] Boot plane size: 1919 x 1079
[   21.833707]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set
[   21.833709]: [IGFB][LOG  ][DISPLAY   ] FB0: Commiting resource set, sleepState 2. 
[   21.834768]: [IGFB][ERROR][DISPLAY   ] FB0: EFI using a different backlight frequency
[   21.837928]: [IGFB][LOG  ][DISPLAY   ] Value read from Mailbox for MEM_SS_INFO = 0x320
[   21.837962]: [IGFB][LOG  ][DISPLAY   ] RAM = 0x0
[   21.837963]: [IGFB][LOG  ][DISPLAY   ] Populated Channels = 0x2
[   21.837964]: [IGFB][LOG  ][DISPLAY   ] Number of GV points = 0x3
[   21.839969]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 0 h24_maxplanes = 3
[   21.839973]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(0) totalbw = 9450
[   21.839975]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 1 and for number of planes(0) totalbw = 9907
[   21.839976]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 2 and for number of planes(0) totalbw = 9700
[   21.839977]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 3 and for number of planes(0) totalbw = 0
[   21.839978]: [IGFB][LOG  ][DISPLAY   ] At index (plane) 1 h24_maxplanes = 1
[   21.839979]: [IGFB][LOG  ][DISPLAY   ] At Sagv point 0 and for number of planes(1) totalbw = 14454
